,user,text,favorite_count,retweet_count,created_at
0,FoxNews,.@SenatorTimScott hauls in $2 million in first 24 hours of his 2024 presidential campaign https://t.co/fR5l6nkPe1,23,4,2023-05-24 03:55:04+00:00
1,FoxNews,Texas AG Paxton calls on State House speaker to resign after 'apparent intoxication' https://t.co/h6my3KC0NX,21,9,2023-05-24 03:50:06+00:00
2,FoxNews,Target confirms 'adjustments' to Pride plans after LGBTQ merchandise caused 'threats' to employees https://t.co/astmjgz9pB,47,14,2023-05-24 03:45:08+00:00
3,FoxNews,Professor holds machete to reporter's neck after destroying student's pro-life display https://t.co/FLL7bJWvJM,58,19,2023-05-24 03:40:04+00:00
4,FoxNews,Target CEO says woke capitalism 'great' for their brand and 'the right thing for society' https://t.co/AOSHqaC8mu,89,33,2023-05-24 03:35:03+00:00
5,FoxNews,"NO 'COINCIDENCE': Canadian student Josh Alexander was detained while handing out Bibles after he was suspended from school for opposing transgender ideology. Now, he's telling his story https://t.co/R44EejQO8r https://t.co/l0dF1rYuCb",319,78,2023-05-24 03:30:10+00:00
6,FoxNews,Lori Vallow verdict: Idaho juror says 'cult mom' had 'no hint' she was destroying 'so much around her' https://t.co/GNwxPvlw1C,22,6,2023-05-24 03:25:08+00:00
7,FoxNews,GLOVES ARE OFF: The Trump campaign did not hesitate to take a swipe at Florida's governor ahead of his expected presidential campaign announcement on Twitter https://t.co/6kCVvRw3ks https://t.co/GRqnqqsO9e,46,8,2023-05-24 03:20:07+00:00
8,FoxNews,Melissa McCarthy recalls hostile workplace that made her 'physically ill' https://t.co/Ay4Ka8rqLp,32,8,2023-05-24 03:15:05+00:00
9,FoxNews,Comer requests meeting with FBI director after refusal to produce Biden doc allegedly showing illegal scheme https://t.co/VTig10L6RW,161,37,2023-05-24 03:10:03+00:00
10,FoxNews,"New York Post reporter confronted by machete-wielding professor speaks out: She threatened to 'chop us up'
https://t.co/e7xGwyVpGL",78,25,2023-05-24 03:05:05+00:00
11,FoxNews,"Alex Murdaugh to face questioning in Mallory Beach boating death case
https://t.co/7cXnqB2Hfi",100,13,2023-05-24 03:00:10+00:00
12,FoxNews,Johnny Depp honors Jeff Beck at tribute concert after controversial Cannes appearance https://t.co/a6Gtl7ZWTP,79,11,2023-05-24 02:50:05+00:00
13,FoxNews,"Stars-Golden Knights playoff game halted after Dallas fans angrily throw debris on ice
https://t.co/IL9K1XGPsq",34,3,2023-05-24 02:45:07+00:00
14,FoxNews,"Eli Manning unleashes hilarious roast of brother Peyton Manning after Sports Emmy win
https://t.co/iwHOcxXFbG",64,5,2023-05-24 02:40:05+00:00
15,FoxNews,"Ted Cruz, Mike Lee push FDA to 'automatically' approve drugs used in 'trusted countries' https://t.co/T6WEHJbJGk",213,32,2023-05-24 02:35:03+00:00
16,FoxNews,"Marcus Rosemy-Jacksaint becomes latest Georgia football player in trouble with the law
https://t.co/f0Ods9KngU",16,5,2023-05-24 02:30:13+00:00
17,FoxNews,".@JesseBWatters: The same people who covered up the laptop are now letting Biden off the hook
https://t.co/ievBvGSayR",190,49,2023-05-24 02:25:05+00:00
18,FoxNews,"'Coal country' snubs Republicans in deep-red state, backs Democrat governor for re-election
https://t.co/ghowqeXDNR",47,11,2023-05-24 02:20:05+00:00
